Run Fondo;fecha;serie;periodo;valor_renta
8088;2023-05-18;B;1M;0.75%
8088;2023-05-18;B;3M;-1.38%
8088;2023-05-18;B;6M;-12.72%
8088;2023-05-18;B;1Y;-7.04%
8088;2023-05-18;B;YTD;-2.47%
8088;2023-05-19;B;1M;1.54%
8088;2023-05-19;B;3M;-0.64%
8088;2023-05-19;B;6M;-12.07%
8088;2023-05-19;B;1Y;-3.83%
8088;2023-05-19;B;YTD;-1.74%
8088;2023-05-20;B;1M;2.34%
8088;2023-05-20;B;3M;-0.55%
8088;2023-05-20;B;6M;-12.07%
8088;2023-05-20;B;1Y;-3.01%
8088;2023-05-20;B;YTD;-1.75%
8088;2023-05-21;B;1M;1.88%
8088;2023-05-21;B;3M;-0.32%
8088;2023-05-21;B;6M;-13.43%
8088;2023-05-21;B;1Y;-3.01%
8088;2023-05-21;B;YTD;-1.75%
8088;2023-05-22;B;1M;2.47%
8088;2023-05-22;B;3M;0.80%
8088;2023-05-22;B;6M;-12.20%
8088;2023-05-22;B;1Y;-2.44%
8088;2023-05-22;B;YTD;-1.18%
8088;2023-05-23;B;1M;2.06%
8088;2023-05-23;B;3M;-0.21%
8088;2023-05-23;B;6M;-12.52%
8088;2023-05-23;B;1Y;-3.25%
8088;2023-05-23;B;YTD;-1.58%
8088;2023-05-24;B;1M;-0.78%
8088;2023-05-24;B;3M;-1.52%
8088;2023-05-24;B;6M;-12.03%
8088;2023-05-24;B;1Y;-4.00%
8088;2023-05-24;B;YTD;-1.90%
8088;2023-05-25;B;1M;0.19%
8088;2023-05-25;B;3M;-1.57%
8088;2023-05-25;B;6M;-12.44%
8088;2023-05-25;B;1Y;-4.18%
8088;2023-05-25;B;YTD;-1.96%
8088;2023-05-26;B;1M;2.01%
8088;2023-05-26;B;3M;-1.38%
8088;2023-05-26;B;6M;-12.26%
8088;2023-05-26;B;1Y;-4.35%
8088;2023-05-26;B;YTD;-1.77%
8088;2023-05-27;B;1M;1.85%
8088;2023-05-27;B;3M;-3.11%
8088;2023-05-27;B;6M;-12.26%
8088;2023-05-27;B;1Y;-5.53%
8088;2023-05-27;B;YTD;-1.77%
8088;2023-05-28;B;1M;0.76%
8088;2023-05-28;B;3M;-2.80%
8088;2023-05-28;B;6M;-11.67%
8088;2023-05-28;B;1Y;-5.52%
8088;2023-05-28;B;YTD;-1.77%
8088;2023-05-29;B;1M;0.73%
8088;2023-05-29;B;3M;-2.83%
8088;2023-05-29;B;6M;-10.23%
8088;2023-05-29;B;1Y;-5.56%
8088;2023-05-29;B;YTD;-1.81%
8088;2023-05-30;B;1M;1.15%
8088;2023-05-30;B;3M;-2.43%
8088;2023-05-30;B;6M;-9.80%
8088;2023-05-30;B;1Y;-6.92%
8088;2023-05-30;B;YTD;-1.41%
8088;2023-05-31;B;1M;1.42%
8088;2023-05-31;B;3M;-2.17%
8088;2023-05-31;B;6M;-9.55%
8088;2023-05-31;B;1Y;-6.19%
8088;2023-05-31;B;YTD;-1.14%
8088;2023-06-01;B;1M;0.54%
8088;2023-06-01;B;3M;-1.28%
8088;2023-06-01;B;6M;-11.07%
8088;2023-06-01;B;1Y;-6.48%
8088;2023-06-01;B;YTD;-2.00%
8088;2023-06-02;B;1M;1.15%
8088;2023-06-02;B;3M;-0.02%
8088;2023-06-02;B;6M;-9.72%
8088;2023-06-02;B;1Y;-4.76%
8088;2023-06-02;B;YTD;-1.08%
8088;2023-06-03;B;1M;1.84%
8088;2023-06-03;B;3M;-0.53%
8088;2023-06-03;B;6M;-9.72%
8088;2023-06-03;B;1Y;-4.72%
8088;2023-06-03;B;YTD;-1.08%
8088;2023-06-04;B;1M;3.07%
8088;2023-06-04;B;3M;-0.54%
8088;2023-06-04;B;6M;-9.72%
